,CustomerID,Gender,Age,Annual Income ($),Spending Score (1-100),Profession,Work Experience,Family Size
0,1,M,19,15000,39,healthcare,1,4
1,2,Male,21,35000,81,engineer,3,3
2,3,Female,20,86000,6,engineer,1,1
3,4,Female,23,59000,77,lawyer,0,2
4,5,Female,31,38000,40,entertainment,2,6
5,6,Female,22,58000,76,artist,0,2
6,7,Female,35,31000,6,healthcare,1,3
7,8,Female,23,84000,94,healthcare,1,3
8,9,Male,64,97000,3,engineer,0,3
9,10,F,30,98000,72,artist,1,4
10,11,Male,67,7000,14,engineer,1,3
11,12,F,35,93000,99,healthcare,4,4
12,13,F,58,80000,15,executive,0,5
13,14,F,24,91000,77,lawyer,1,1
14,15,MAle,37,19000,13,doctor,0,1
15,16,Male,22,51000,79,healthcare,1,2
16,17,Female,35,29000,35,homemaker,9,5
17,18,Male,20,89000,66,healthcare,1,6
18,19,Male,52,20000,29,entertainment,1,4
19,20,Female,35,62000,98,artist,0,1
20,21,MAle,35,96000,35,homemaker,12,1
21,22,Male,25,4000,73,healthcare,3,4
22,23,Female,46,42000,5,artist,13,2
23,24,Male,31,71000,73,artist,5,2
24,25,Female,54,67000,14,executive,1,3
25,26,Male,29,52000,82,artist,1,3
26,27,Female,45,68000,32,healthcare,9,8
27,28,Male,35,78000,61,artist,1,3
28,29,Female,40,18000,31,artist,0,1
29,30,Female,23,20000,87,artist,5,4
30,31,Male,60,39000,4,artist,0,3
31,32,Female,21,34000,73,doctor,1,2
32,33,Male,53,59000,4,healthcare,1,3
33,34,Male,18,62000,92,homemaker,9,7
34,35,Female,49,91000,14,lawyer,1,2
35,36,Female,21,95000,81,healthcare,3,4
36,37,Female,42,14000,17,doctor,5,1
37,38,Female,30,62000,73,healthcare,1,5
38,39,Female,36,9000,26,artist,8,2
39,40,Female,20,69000,75,artist,8,2
40,41,Female,65,25000,35,artist,4,1
41,42,Male,24,85000,92,healthcare,0,2
42,43,Male,48,22000,36,artist,14,3
43,44,Female,31,33000,61,artist,1,2
44,45,Female,49,72000,28,engineer,8,1
45,46,Female,24,3000,65,lawyer,4,2
46,47,Female,50,52000,55,artist,0,4
47,48,Female,27,71000,47,healthcare,12,1
48,49,Female,29,78000,42,healthcare,0,4
49,50,Female,31,25000,42,engineer,1,1
50,51,Female,49,88000,52,artist,1,2
51,52,Male,33,97000,60,artist,1,2
52,53,FEMALE,31,74000,54,artist,1,1
53,54,Male,59,68000,60,entertainment,0,2
54,55,Female,50,18000,45,marketing,1,1
55,56,Male,47,95000,41,artist,14,2
56,57,Female,51,71000,50,healthcare,9,4
57,58,Male,69,8000,46,doctor,8,2
58,59,Female,27,57000,51,artist,1,3
59,60,Male,53,89000,46,lawyer,1,6
60,61,Male,70,84000,56,artist,0,2
61,62,Male,19,50000,55,artist,9,2
62,63,Female,67,50000,52,lawyer,0,3
63,64,Female,54,48000,59,lawyer,1,2
64,65,Male,63,63000,51,lawyer,7,2
65,66,Male,18,9000,59,entertainment,0,2
66,67,Female,43,3000,50,doctor,0,2
67,68,Feml,68,82000,48,artist,8,4
68,69,MAle,19,81000,59,artist,0,4
69,70,FEMALE,32,97000,47,homemaker,2,2
70,71,MAle,70,91000,55,healthcare,8,2
71,72,Female,47,9000,42,entertainment,8,2
72,73,Female,60,44000,49,artist,0,5
73,74,Female,60,10000,56,healthcare,8,4
74,75,Male,59,89000,47,artist,0,4
75,76,Male,26,49000,54,homemaker,0,3
76,77,Female,45,67000,53,doctor,0,2
77,78,Male,40,99000,48,artist,4,3
78,79,Female,23,97000,52,engineer,2,2
79,80,Female,49,98000,42,,1,1
80,81,Male,57,52000,51,healthcare,0,4
81,82,Male,38,61000,55,healthcare,6,3
82,83,Male,67,120000,41,artist,8,1
83,84,Female,46,34000,44,entertainment,8,4
84,85,Female,21,24000,57,marketing,1,3
85,86,MALE,48,31000,46,healthcare,7,5
86,87,FEMALE,55,11000,58,artist,0,3
87,88,FEMALE,22,55000,55,artist,5,2
88,89,Female,34,76000,60,entertainment,7,3
89,90,FEMALE,50,56000,46,doctor,0,2
90,91,Female,68,46000,55,entertainment,0,3
91,92,Male,18,36000,41,artist,1,4
92,93,Male,48,88000,49,artist,1,2
93,94,Female,40,31000,40,entertainment,1,2
94,95,Female,32,24000,42,artist,0,1
95,96,Male,24,80000,52,artist,10,1
96,97,Female,47,2000,47,artist,0,1
97,98,Female,27,67000,50,artist,0,2
98,99,Male,48,58000,42,doctor,1,2
99,100,Male,20,80000,49,engineer,3,3
100,101,Female,23,65000,41,artist,0,4
101,102,Female,49,4000,48,executive,1,7
102,103,Male,67,98000,59,artist,0,3
103,104,MALE,26,52000,55,executive,0,5
104,105,Male,49,86000,56,healthcare,10,2
105,106,Female,21,82000,42,doctor,1,2
106,107,Female,66,43000,50,homemaker,3,2
107,108,MALE,54,78000,46,lawyer,1,1
108,109,Male,68,13000,43,healthcare,6,5
109,110,Male,66,13000,48,healthcare,9,3
110,111,MALE,65,34000,52,entertainment,4,4
111,112,Female,19,25000,54,artist,0,1
112,113,Female,38,71000,42,doctor,1,5
113,114,Male,19,2000,46,artist,1,1
114,115,Female,18,97000,48,executive,0,3
115,116,Female,19,51000,50,executive,8,4
116,117,Female,63,9000,43,lawyer,1,1
117,118,Female,49,79000,59,artist,0,2
118,119,Female,51,84000,43,,2,7
119,120,Female,50,87000,57,artist,1,2
120,121,Male,27,36000,56,executive,0,3
121,122,Female,38,50000,40,executive,1,4
122,123,Female,40,97000,58,engineer,9,4
123,124,Male,39,6000,91,healthcare,1,3
124,125,Female,23,12000,29,entertainment,9,2
125,126,Female,31,46000,77,marketing,1,2
126,127,Male,43,89000,35,engineer,0,7
127,128,Male,40,4000,95,artist,0,2
128,129,Male,59,38000,11,engineer,0,2
129,130,Male,38,64000,75,entertainment,8,5
130,131,Male,47,66000,9,executive,9,5
131,132,Male,39,26000,75,lawyer,0,2
132,133,Female,25,41000,34,healthcare,6,4
133,134,Female,31,45000,71,artist,5,1
134,135,Male,20,89000,5,engineer,1,2
135,136,Female,29,92000,88,executive,5,5
136,137,Female,44,76000,7,artist,5,2
137,138,Male,32,85000,73,artist,3,4
138,139,Male,19,22000,10,marketing,8,4
139,140,Female,35,15000,72,artist,4,4
140,141,Female,57,32000,5,engineer,0,2
141,142,Male,32,66000,93,artist,0,5
142,143,Female,28,62000,40,doctor,5,3
143,144,Female,32,85000,87,lawyer,1,2
144,145,Male,25,71000,12,engineer,0,5
145,146,Male,28,26000,97,marketing,8,5
146,147,Male,48,52000,36,engineer,9,2
