,rank,Video,Video views,Likes,Dislikes,Category,published
0,1,Lil Nas X - Old Town Road (Official Movie) ft. Billy Ray Cyrus,"54,071,677","3,497,955","78,799",Music,2019
1,2,"20 Tennis shots if they were not filmed, NOBODY would believe them","3,471,237","19,023",859,,2017
5,6,JP Saxe - If the World Was Ending (Official Video) ft. Julia Michaels,"76,834,495","804,353","21,195",Music,2019
7,8,"Polo G, Stunna 4 Vegas & NLE Choppa feat. Mike WiLL Made-It - Go Stupid (Official Video)","7,396,199","320,910","6,485",Music,2020
9,10,JD Pantoja - 12•19 (Official Video),"7,010,732","1,027,392","34,185",Music,2020
10,11,Power Star Pawan Kalyan Special Surprise To Sensational Singer Baby|Filmy Poster,"96,686","1,007",82,Entertainment,2018
11,12,Rels B - LA LATINA (Videoclip Oficial),"5,851,411","155,543","3,504",Music,2019
13,14,"Colapesce, Dimartino - Musica leggerissima (Official Video - Sanremo 2021)","6,953,838","116,350","2,059",Music,2021
14,15,Polo G - Flex (Official Audio) ft. Juice WRLD,"3,845,186","122,706","1,305",Music,2020
16,17,LILHUDDY - America's Sweetheart (Official Music Video),"3,086,667","346,074","12,082",Music,2021
21,22,"Ghetto Kids, Kenia OS, Malo - Toketeo (Video Oficial)","1,677,733","211,037","7,579",Music,2021
22,23,Polo G - Be Something (Official Audio) ft. Lil Baby,"2,692,740","99,982","2,393",Music,2020
23,24,TEST γιανα δεις αν έχεις καλά ματιά,"699,382","8,436","1,756",People & Blogs,2017
25,26,Olivia Rodrigo - drivers license (Official Video),"68,224,979","3,810,456","48,539",Music,2021
28,29,Вкладчикам Югры в Центробанке не рады,"204,782","5,352",63,News & Politics,2017
33,34,JD Pantoja - 12•19 (Trailer),"2,144,710","317,352","8,155",Music,2020
35,36,Beéle - Si Te Interesa (Official Video),"1,450,005","94,228","1,067",Music,2021
37,38,Mulatto - No Hook (Official Video),"2,138,136","123,687","1,793",Music,2020
39,40,Aitch - Safe To Say,"1,330,363","84,759","1,749",Music,2020
41,42,Cat mom hugs baby kitten,"59,857,489","347,772","8,212",Pets & Animals,2011
48,49,Morray - Trenches (Official Music Video),"1,352,140","58,129","1,051",Music,2021
49,50,Luke Hemmings - Starting Line (Official Video),"635,002","129,469",179,Music,2021
55,56,"Camilo, Pedro Capó - Tutu (Official Video)","1,520,641","319,573","2,361",Music,2019
58,59,Dani Ribba - Solo Una Vez (Official Video),"473,979","107,663",263,Music,2021
