     rank                                                                                                 Video    Video views       Likes      Dislikes               Category  published
0       1                                        Lil Nas X - Old Town Road (Official Movie) ft. Billy Ray Cyrus     54,071,677   3,497,955        78,799            Music Video       2019
1       2                                    20 Tennis shots if they were not filmed, NOBODY would believe them      3,471,237      19,023           859           Comedy Video       2017
2       3                                                                    JoJo Siwa - Karma (Official Video)     34,206,747     293,563  Comedy Video            Music Video       2024
3       4                                                       David Kushner - Daylight (Official Music Video)     18,558,390     680,732  Comedy Video            Music Video       2023
4       5                    Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack  6,547,981,039  44,428,537  Comedy Video            Music Video       2015
5       6                                 JP Saxe - If the World Was Ending (Official Video) ft. Julia Michaels     76,834,495     804,353        21,195            Music Video       2019
6       7                                                                     JENNIE - ZEN (RUBY ALBUM MARCH 7)      8,306,465   1,261,577  Comedy Video            Music Video       2025
7       8              Polo G, Stunna 4 Vegas & NLE Choppa feat. Mike WiLL Made-It - Go Stupid (Official Video)      7,396,199     320,910         6,485            Music Video       2020
8       9                                        Yovie Widianto, Lyodra, Tiara Andini, Ziva Magnolya - Menyesal     13,894,905     452,087  Comedy Video            Music Video       2023
9      10                                                                   JD Pantoja - 12•19 (Official Video)      7,010,732   1,027,392        34,185            Music Video       2020
10     11                      Power Star Pawan Kalyan Special Surprise To Sensational Singer Baby|Filmy Poster         96,686       1,007            82          Entertainment       2018
11     12                                                                Rels B - LA LATINA (Videoclip Oficial)      5,851,411     155,543         3,504            Music Video       2019
12     13                                                                        Luck Ra, Nicki Nicole - DOCTOR      8,286,096     149,421  Comedy Video            Music Video       2024
13     14                            Colapesce, Dimartino - Musica leggerissima (Official Video - Sanremo 2021)      6,953,838     116,350         2,059            Music Video       2021
14     15                                                         Polo G - Flex (Official Audio) ft. Juice WRLD      3,845,186     122,706         1,305            Music Video       2020
15     16                                                  Kevin AMF, Tiagz - Maradona (Tatara) (Video Oficial)      5,756,535     111,266  Comedy Video            Music Video       2024
16     17                                                LILHUDDY - America's Sweetheart (Official Music Video)      3,086,667     346,074        12,082            Music Video       2021
17     18                                                                                   MILLION DOLLAR BABY     11,894,076     226,375  Comedy Video            Music Video       2024
18     19                                                                     Every Moment With You (너와의 모든 지금)      7,958,181      54,903  Comedy Video            Music Video       2024
19     20                                                 Jay Wheeler - Te La Dedico / For You (Official Video)     13,764,098     111,497  Comedy Video            Music Video       2023
20     21                                                  KATSEYE - Touch (ft. YEONJUN of TOMORROW X TOGETHER)      2,279,833     168,798  Comedy Video            Music Video       2024
21     22                                                 Ghetto Kids, Kenia OS, Malo - Toketeo (Video Oficial)      1,677,733     211,037         7,579            Music Video       2021
22     23                                                   Polo G - Be Something (Official Audio) ft. Lil Baby      2,692,740      99,982         2,393            Music Video       2020
23     24                                                                   TEST γιανα δεις αν έχεις καλά ματιά        699,382       8,436         1,756         People & Blogs       2017
24     25                            GabyMusic,AnuelAA,LuarLa,Lunay,Bryant Myers - No Te Quieren Conmigo(Remix)      5,461,432     159,823  Comedy Video            Music Video       2024
25     26                                                     Olivia Rodrigo - drivers license (Official Video)     68,224,979   3,810,456        48,539            Music Video       2021
26     27                                                            Libianca - People (Visualiser) ft. Becky G      5,353,676     113,198  Comedy Video            Music Video       2023
27     28                                                           Sofia Castro - Bien Por Ti (Official Video)      3,416,695     204,468  Comedy Video            Music Video       2022
28     29                                                                 Вкладчикам Югры в Центробанке не рады        204,782       5,352            63        News & Politics       2017
29     30                                                                               Kodak Black - Hit Stick      2,032,486      87,384  Comedy Video            Music Video       2024
30     31                                                                   Jay Wheeler - Xexo (Official Video)      5,038,848      93,112  Comedy Video            Music Video       2023
31     32                                                           6ix9ine - FEFE ft. Nicki Minaj, Murda Beatz  1,090,948,051   9,015,394  Comedy Video         People & Blogs       2018
32     33                                                               Ice Spice - in ha mood (Official Video)      3,725,161     160,883  Comedy Video            Music Video       2023
33     34                                                                          JD Pantoja - 12•19 (Trailer)      2,144,710     317,352         8,155            Music Video       2020
34     35                                                                                         PUN - DAY ONE      4,669,546      95,387  Comedy Video            Music Video       2024
35     36                                                               Beéle - Si Te Interesa (Official Video)      1,450,005      94,228         1,067            Music Video       2021
36     37                                         [Dandadan] Creepy Nuts - オトノケ(Otonoke) (Official Music Video)     13,933,735     441,696  Comedy Video            Music Video       2024
37     38                                                                    Mulatto - No Hook (Official Video)      2,138,136     123,687         1,793            Music Video       2020
38     39                                                            Asake, Central Cee - Wave (Official Video)     10,779,032     287,616  Comedy Video            Music Video       2024
39     40                                                                                   Aitch - Safe To Say      1,330,363      84,759         1,749            Music Video       2020
40     41                                                 Destroy Lonely - Look Killa (Short Film) (Short Film)      1,194,149      89,811  Comedy Video            Music Video       2023
41     42                                                                              Cat mom hugs baby kitten     59,857,489     347,772         8,212         Pets & Animals       2011
42     43                                             Alex Ponce, BLANKO - La Sin Sentimientos (Official Video)      2,443,713      88,475  Comedy Video            Music Video       2024
43     44                                                             Addison Rae - Aquamarine (Official Video)      2,641,333     135,303  Comedy Video            Music Video       2024
44     45                                               ALYPH - SWIPE (ft. Dato Seri Vida) Official Music Video      4,645,815      93,750  Comedy Video            Music Video       2022
