,Gender,Country,Hired on,Terminated on,ACTION,Grade,Unnamed: 6,Unnamed: 7,Unnamed: 8,Ethnicity
0,F,1,07/30/2007,02/04/2014,1,1.0,,07/30/200702/04/2014,,White
1,F,1,02/01/2006,06/08/2015,1,1.0,,02/01/200606/08/2015,,White
2,M,1,02/09/1998,07/11/2014,1,1.0,,02/09/199807/11/2014,,White
3,F,1,03/19/2012,09/02/2016,1,1.0,,03/19/201209/02/2016,,White
4,M,1,11/23/2006,06/19/2014,1,1.0,,11/23/200606/19/2014,,White
5,M,1,04/16/2003,08/30/2016,2,1.0,,04/16/200308/30/2016,,White
6,M,1,04/27/2004,07/02/2015,2,1.0,,04/27/200407/02/2015,,White
7,M,1,05/02/1983,10/30/2015,1,1.0,,05/02/198310/30/2015,,White
8,F,1,07/16/2012,02/27/2015,1,7.0,,07/16/201202/27/2015,,White
9,F,1,07/23/2012,04/17/2014,1,1.0,,07/23/201204/17/2014,,White
10,M,1,09/24/2001,01/17/2014,2,1.0,,09/24/200101/17/2014,,White
11,M,1,06/14/2007,07/11/2014,1,1.0,,06/14/200707/11/2014,,White
12,M,1,10/21/2013,08/18/2014,1,1.0,,10/21/201308/18/2014,,White
13,F,1,12/09/2013,02/27/2014,1,1.0,,12/09/201302/27/2014,,White
14,F,1,01/13/2014,01/06/2017,1,1.0,,01/13/201401/06/2017,,White
15,F,1,02/03/2014,04/24/2015,1,1.0,,02/03/201404/24/2015,,White
16,M,1,07/30/2007,10/07/2015,1,1.0,,07/30/200710/07/2015,,White
17,M,2,05/07/2007,07/07/2015,2,1.0,,05/07/200707/07/2015,,White
18,F,2,08/01/2011,06/23/2014,2,1.0,,08/01/201106/23/2014,,White
19,M,2,10/17/2011,04/14/2014,1,1.0,,10/17/201104/14/2014,,White
20,F,2,02/18/2013,03/27/2014,1,1.0,,02/18/201303/27/2014,,White
21,F,2,10/20/2014,12/17/2014,1,1.0,,10/20/201412/17/2014,,White
22,F,2,10/02/2006,01/20/2015,2,1.0,,10/02/200601/20/2015,,White
23,M,2,08/18/2008,03/25/2014,1,1.0,,08/18/200803/25/2014,,White
24,F,2,09/14/2009,09/26/2014,1,1.0,,09/14/200909/26/2014,,White
25,M,2,08/02/2010,01/30/2015,1,1.0,,08/02/201001/30/2015,,White
26,M,2,02/17/2014,02/27/2015,1,1.0,,02/17/201402/27/2015,,White
27,F,2,02/17/2014,02/20/2014,2,1.0,,02/17/201402/20/2014,,White
28,F,2,10/04/2010,03/20/2014,2,1.0,,10/04/201003/20/2014,,White
29,M,2,04/28/2014,03/20/2015,1,1.0,,04/28/201403/20/2015,,White
30,M,2,05/05/2014,07/11/2014,1,1.0,,05/05/201407/11/2014,,White
31,M,1,04/24/2008,04/30/2014,1,1.0,,04/24/200804/30/2014,,White
32,F,2,04/04/2011,05/01/2015,2,1.0,,04/04/201105/01/2015,,White
33,F,2,05/16/2011,06/19/2015,1,1.0,,05/16/201106/19/2015,,White
34,M,2,09/16/2013,01/06/2014,1,1.0,,09/16/201301/06/2014,,White
35,M,2,07/21/2014,08/11/2015,2,1.0,,07/21/201408/11/2015,,White
36,M,2,03/24/2014,02/02/2015,1,1.0,,03/24/201402/02/2015,,White
37,M,2,05/12/2014,08/29/2014,1,1.0,,05/12/201408/29/2014,,White
