,Gender,Country,Hired on,Terminated on,Action,Grade,Ethnicity,Unnamed: 7
0,F,1,07/30/2007,02/04/2014,1,2,White,
1,F,1,02/01/2006,06/08/2015,1,2,White,
2,M,1,02/09/1998,07/11/2014,1,2,White,
3,F,1,03/19/2012,09/02/2016,1,2,White,
4,M,1,11/23/2006,06/19/2014,1,2,White,
5,M,1,04/16/2003,08/30/2016,2,2,White,
6,F,2,04/27/2004,07/02/2015,2,2,White,
7,M,1,05/02/1983,10/30/2015,1,2,White,
8,F,1,07/16/2012,02/27/2015,1,2,White,
9,F,1,07/23/2012,04/17/2014,1,2,White,
10,M,1,09/24/2001,01/17/2014,2,2,White,
11,M,1,06/14/2007,07/11/2014,1,2,White,
12,M,1,10/21/2013,08/18/2014,1,2,White,
13,F,1,12/09/2013,02/27/2014,1,2,White,
14,F,1,01/13/2014,01/06/2017,1,2,White,
15,F,1,02/03/2014,04/24/2015,1,2,White,
16,M,1,07/30/2007,10/07/2015,1,2,White,
17,M,2,05/07/2007,07/07/2015,2,2,White,
18,F,2,08/01/2011,06/23/2014,2,2,White,
19,M,2,10/17/2011,04/14/2014,1,2,White,
20,F,2,02/18/2013,03/27/2014,1,2,White,
21,F,2,10/20/2014,12/17/2014,1,2,White,
22,F,2,10/02/2006,01/20/2015,2,2,White,
23,M,2,08/18/2008,03/25/2014,1,2,White,
24,F,2,09/14/2009,09/26/2014,1,2,White,
25,M,2,08/02/2010,01/30/2015,1,2,White,
26,M,2,02/17/2014,02/27/2015,1,2,White,
27,F,2,02/17/2014,02/20/2014,2,2,White,
28,F,2,10/04/2010,03/20/2014,2,2,White,
29,M,2,04/28/2014,03/20/2015,1,2,White,
30,M,2,05/05/2014,07/11/2014,1,2,White,
31,M,1,04/24/2008,04/30/2014,1,2,White,
32,F,2,04/04/2011,05/01/2015,2,2,White,
33,F,2,05/16/2011,06/19/2015,1,2,White,
34,M,2,09/16/2013,01/06/2014,1,2,White,
35,M,2,07/21/2014,08/11/2015,2,2,White,
36,M,2,03/24/2014,02/02/2015,1,2,White,
37,M,2,05/12/2014,08/29/2014,1,2,White,
38,M,2,04/08/2013,08/06/2015,2,2,White,
39,M,1,03/16/2009,03/06/2015,1,2,White,
40,F,1,10/16/2012,07/02/2014,2,2,White,
41,F,1,10/02/2000,02/14/2014,1,2,White,
42,M,2,08/29/2011,04/03/2015,2,2,White,
43,M,2,07/03/2006,05/02/2014,1,2,White,
44,M,2,09/19/2011,09/02/2014,1,2,White,
