,rank,Video,Video views,Likes,Dislikes,Category,published
0,1,Lil Nas X - Old Town Road (Official Movie) ft. Billy Ray Cyrus,"5,40,71,677","34,97,955","78,799",Music,2019
1,2,"20 Tennis shots if they were not filmed, NOBODY would believe them","34,71,237","19,023",859,,2017
2,3,JoJo Siwa - Karma (Official Video),"3,42,06,747","2,93,563",,Music,2024
3,4,David Kushner - Daylight (Official Music Video),"1,85,58,390","6,80,732",,Music,2023
5,6,JP Saxe - If the World Was Ending (Official Video) ft. Julia Michaels,"7,68,34,495","8,04,353","21,195",Music,2019
6,7,JENNIE - ZEN (RUBY ALBUM MARCH 7),"83,06,465","12,61,577",,Music,2025
7,8,"Polo G, Stunna 4 Vegas & NLE Choppa feat. Mike WiLL Made-It - Go Stupid (Official Video)","73,96,199","3,20,910","6,485",Music,2020
8,9,"Yovie Widianto, Lyodra, Tiara Andini, Ziva Magnolya - Menyesal","1,38,94,905","4,52,087",,Music,2023
9,10,JD Pantoja - 12•19 (Official Video),"70,10,732","10,27,392","34,185",Music,2020
10,11,Power Star Pawan Kalyan Special Surprise To Sensational Singer Baby|Filmy Poster,"96,686","1,007",82,Entertainment,2018
11,12,Rels B - LA LATINA (Videoclip Oficial),"58,51,411","1,55,543","3,504",Music,2019
12,13,"Luck Ra, Nicki Nicole - DOCTOR","82,86,096","1,49,421",,Music,2024
13,14,"Colapesce, Dimartino - Musica leggerissima (Official Video - Sanremo 2021)","69,53,838","1,16,350","2,059",Music,2021
14,15,Polo G - Flex (Official Audio) ft. Juice WRLD,"38,45,186","1,22,706","1,305",Music,2020
15,16,"Kevin AMF, Tiagz - Maradona (Tatara) (Video Oficial)","57,56,535","1,11,266",,Music,2024
16,17,LILHUDDY - America's Sweetheart (Official Music Video),"30,86,667","3,46,074","12,082",Music,2021
17,18,MILLION DOLLAR BABY,"1,18,94,076","2,26,375",,Music,2024
18,19,Every Moment With You (너와의 모든 지금),"79,58,181","54,903",,Music,2024
19,20,Jay Wheeler - Te La Dedico / For You (Official Video),"1,37,64,098","1,11,497",,Music,2023
20,21,KATSEYE - Touch (ft. YEONJUN of TOMORROW X TOGETHER),"22,79,833","1,68,798",,Music,2024
21,22,"Ghetto Kids, Kenia OS, Malo - Toketeo (Video Oficial)","16,77,733","2,11,037","7,579",Music,2021
22,23,Polo G - Be Something (Official Audio) ft. Lil Baby,"26,92,740","99,982","2,393",Music,2020
