CITY,WORK,PRICE,SALARY,Cluster
Amsterdam     ,1714,65.6,49.0,0
Athens        ,1792,53.8,30.4,1
Bogota        ,2152,37.9,11.5,2
Bombay        ,2052,30.3,5.3,-1
Brussels      ,1708,73.8,50.5,0
Buenos Aires  ,1971,56.1,12.5,3
Caracas       ,2041,61.0,10.9,3
Chicago       ,1924,73.9,61.9,0
Copenhagen    ,1717,91.3,62.9,-1
Dublin        ,1759,76.0,41.4,0
Dusseldorf    ,1693,78.5,60.2,0
Frankfurt     ,1650,74.5,60.4,0
Geneva        ,1880,95.9,90.3,4
Helsinki      ,1667,113.6,66.6,-1
Hong Kong     ,2375,63.8,27.8,-1
Houston       ,1978,71.9,46.3,-1
Johannesburg  ,1945,51.1,24.0,-1
Kuala Lumpur  ,2167,43.5,9.9,2
Lagos         ,1786,45.2,2.7,5
Lisbon        ,1742,56.2,18.8,-1
London        ,1737,84.2,46.2,0
Los Angeles   ,2068,79.8,65.2,-1
Luxembourg    ,1768,71.1,71.1,-1
Madrid        ,1710,93.8,50.0,-1
Manila        ,2268,40.0,4.0,-1
Mexico City   ,1944,49.8,5.7,3
Milan         ,1773,82.0,53.3,0
Montreal      ,1827,72.7,56.3,0
Nairobi       ,1958,45.0,5.8,3
New York      ,1942,83.3,65.8,0
Nicosia       ,1825,47.9,28.3,1
Oslo          ,1583,115.5,63.7,-1
Panama        ,2078,49.2,13.8,-1
Paris         ,1744,81.6,45.9,0
Rio de Janeiro,1749,46.3,10.5,5
Sao Paulo     ,1856,48.9,11.1,-1
Seoul         ,1842,58.3,32.7,1
Singpore      ,2042,64.4,16.1,3
Stockholm     ,1805,111.3,39.2,-1
Sydney        ,1668,70.8,52.1,0
Taipei        ,2145,84.3,34.5,-1
Tel Aviv      ,2015,67.3,27.0,3
Tokyo         ,1880,115.0,68.0,-1
Toronto       ,1888,70.2,58.2,0
Vienna        ,1780,78.0,51.3,0
Zurich        ,1868,100.0,100.0,4
