,Coefficient
mean texture,0.0025989507012741217
mean smoothness,-0.014357881239146178
mean compactness,0.19040032273480798
mean concavity,-0.004692461868047299
mean concave points,-0.22086938051588348
mean symmetry,0.009600505489264125
radius error,-0.16541929448934084
texture error,0.02616182116960898
perimeter error,0.004632248605642197
area error,0.10239751744854507
smoothness error,-0.060776929385795125
compactness error,0.02519761318763587
concavity error,0.10260427424724787
concave points error,-0.08058938639930655
symmetry error,0.010735247278633937
worst radius,-0.4509134627103073
worst texture,-0.08380967328342845
worst area,0.32792262193818467
worst smoothness,0.0069714464035801685
worst compactness,-0.060579863952580165
worst concavity,-0.16457127745840328
worst concave points,0.06373633763839354
worst symmetry,-0.06129611684023394
worst fractal dimension,-0.03521691382677794
